,title,price,size,avg_rating,taste,score,description,brand,country,state,spirit_type,spirit_style,reviews
0,A.D. Rattray Aberfeldy 18 Yr,99.99,750ml,-1, ,-1," Highlands, Scotland- Pleasant aromas of caramel, cereal grain candied apple with hints of vanilla and almonds in the background. Flavors begin with sweet caramelized apples and stone fruits with hints of vanilla throughout. Finishes clean and dry. Try it neat on the rocks. Enjoy! ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
1,A.D. Rattray Auchroisk 22 Yr,139.99,750ml,-1, ,-1," Speyside, Scotland - This Auchroisk is quite perfumed with hints of lemon meringue, citrus, sandalwood and a light note of flowers. It is enjoyed with water, with ice, or with a mixer. ",A.D. Rattray,Scotland,NA,Scotch,Single Malt,No Reviews
2,A.D. Rattray Aultmore 16 Year,97.99,750ml,-1, ,-1," Speyside, Scotland- Aroma of honey, ripe fruits, pineapple, honeydew melon, spices and aniseed. A sweet buttery palate of vanilla fudge, bursting with fruit and apple tart. Enjoy on the rocks. ",A.D. Rattray,Scotland,NA,Scotch,Single Malt,No Reviews
3,A.D. Rattray Ben Nevis 17Yr Single Cask Barrel Select,99.99,750ml,-1, Delicate . Apple . Grass . Vanilla . Complex ,-1,NA,A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
4,A.D. Rattray Benriach 23 Yr,179.99,750ml,-1, ,-1," Speyside, Scotland- Rich aromas of honey and heather with baked apple and sweet nutty tones. The palate begins with the same sweetness of honey and heather followed by toasted oak, spice and anise. Enjoy this rich, full-bodied classic neat on the rocks! ",A.D. Rattray,Scotland,NA,Scotch,Single Malt,No Reviews
5,A.D. Rattray Blair Athol 22 Yr,149.99,750ml,-1, ,-1," Highlands, Scotland - Golden hues. To the nose, Menthol, lemon rind, and parsley. On the palate, Spices, herbs, wine, and lemon. The finish has herb and spice notes, It can be enjoyed neat, on the rocks, with water, or in a mixed drink. ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
6,A.D. Rattray Cask Islay Single Malt,57.99,750ml,-1, ,-1," Islay, Scotland- This limited edition blended malt whiskey of handpicked casks is youthful with character. It offers a smoky complexion of honey, oat and caramel flavors, and lime joins in the long lasting aftertaste. ",A.D. Rattray,Scotland,Islay & Islands,Scotch,Single Malt,No Reviews
7,A.D. Rattray Craigellachie 14 yr Barrel Select,109.99,750ml,-1, ,-1,NA,Craigellachie,Scotland,Speyside,Scotch,Single Malt,No Reviews
8,A.D. Rattray Fettercairn 10Yr,76.99,750ml,-1, ,-1," Scotland- NOSE: Wine gums, coconut water, orange peel and linseed. TASTE: Lime juice, pineapple and chocolate-coated strawberries. FINISH: Sharp, zesty and fresh as a Marlborough Sauvignon Blanc. ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
9,A.D. Rattray Girvan 1964 50 Yr,899.99,750ml,-1, Rich . Orange . Chocolate . Nut . Long ,-1," Lowlands, Scotland - This 50 year old expression is the first to be bottled as part of A.D. Rattray's Vintage Cask Collection. Only 255 bottles have been produced. Deep and exquisite aromas of orange peel, dark chocolate truffles, Brazil nuts, nutmeg, rich honey and coconut. Sip neat. ",A.D. Rattray,Scotland,Lowland,Scotch,Single Malt,No Reviews
10,A.D. Rattray Glen Elgin 1995 21 Years,159.99,750ml,-1, ,-1," Speyside, Scotland- Nose: Cut grass, fresh citrus and leather, then the merest hint of smoke. Taste: Waxy and mouth-coating, with barley sugars and honey to the fore. Finish: Green tea and finally oak. Gracefully aged, full of poise and balance. ",A.D. Rattray,Scotland,NA,Scotch,Single Malt,No Reviews
11,A.D. Rattray Glen Elgin 1995 Single Barrel Select,119.99,750ml,-1, Medium . Vanilla . Spice . Long ,-1," Speyside, Scotland- Bright gold color, with aromas of buttery vanilla and lime fruits. Flavors of dark chocolate, orange marmalade and sherry notes. Finishes sweet, with toffee and custard tones. Cask 1646, was hand selected by our local experts with limited bottles available. ",A.D. Rattray,Scotland,NA,Scotch,Single Malt,No Reviews
12,A.D. Rattray Glen Moray 10 Yr Barrel Select,89.99,750ml,-1, ,-1,NA,Glen Moray,Scotland,Speyside,Scotch,Single Malt,No Reviews
13,A.D. Rattray Glenburgie 2001 13 Yr,88.99,750ml,5.0, ,-1," Speyside, Scotland - Aromas of honeysuckle blossom, backed apple and orange zest on the nose. The palate tastes of toasted malt, chocolate, and butterscotch with a warming finish. On the finish the spirit is transformed by a fresh sherry hogshead. Sip neat and enjoy. ",A.D. Rattray,Scotland,Speyside,Scotch,Single Malt,
14,A.D. Rattray Glencadam 22 Yr,169.99,750ml,-1, ,-1," Highlands, Scotland- A gorgeous golden scotch with aromas of pineapple, gummy fruit and soft, malty oak. Flavors of sweet barley sugar and caramel cheesecake peak through into a pleasantly sweet finish. Try it neat on the rocks! Enjoy! ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
15,A.D. Rattray Inchgower 17 Yr Barrel Select,149.99,750ml,-1, ,-1,NA,A.D. Rattray,Scotland,Speyside,Scotch,Single Malt,No Reviews
16,A.D. Rattray Knockadu 9 Yr Barrel Select,79.99,750ml,-1, ,-1,NA,A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
17,A.D. Rattray Stronachie 10 Yr,47.99,750ml,-1, ,-1," Highlands, Scotland - Soft honey, earthy heather and malty sweetness on the nose. The palate is smooth with luscious honey and biscuits, then lingering pepper and cereal notes. The finish is perfectly balanced. Sip neat and enjoy. ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
18,A.D. Rattray Stronachie 12yr,49.99,750ml,-1, Peat . Nut ,-1," Highlands, Scotland- Slightly syrupy, malty, sweetness and a slight amount of peaty dryness are present in this firm whisky with firm palate and soothing finish and nut flavors. ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,No Reviews
19,A.D. Rattray Stronachie 18 Yr,99.99,750ml,4.0, ,-1," Highlands, Scotland - A unique single malt bottling from the Benrinnes distillery under the stronachie label. Big, bold flavorful malt with a smokey tinge and rich spicy character. Finishes long and smooth with lingering oak. Enjoy neat. ",A.D. Rattray,Scotland,Highland,Scotch,Single Malt,
20,A.D. Rattray Tamdhu 24 yr,219.99,750ml,-1, ,-1," Speyside, Scotland- Aromas of brine, citrus and sandalwood with smooth, buttery flavors of warm butterscotch and custard tones. The finish comes back full circle with notes of citrus and some maltiness for a very pleasant aftertaste. Enjoy on the rocks! ",A.D. Rattray,Scotland,Speyside,Scotch,Single Malt,No Reviews
21,Aberfeldy 12 yo,32.99,750ml,4.5, Rich . Spice . Honey . Long ,-1," Highlands, Scotland- Reserved as the heart of Dewar's blends, limited quantities of Aberfeldy single malt are now available. At 12 years old, Aberfeldy is noted for its heather honey nose, full body and rounded taste. The finish is elegant, with pronounced spice and hints of orange. ",Aberfeldy,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    A really good value Scotch   ', 'review_cont': ' Great flavors in this bottle, my only disappointment is that the whiskey is bottled at 40% ABV. Would I by this again, heck yeah. I will have this one in the house regularly. ', 'review_scor': '4'}}"
22,Aberfeldy 16 Year,89.99,750ml,-1, ,-1," Scotland- Aberfeldy 16 Year Old was released in 2015 as part of The Last Great Malts series. Matured in a combination of bourbon and sherry casks, this has lovely balance between sweetness and spiciness. ",Aberfeldy,Scotland,NA,Scotch,Single Malt,No Reviews
23,Aberfeldy 21 yo,149.99,750ml,4.0, Rich . Spice . Wood . Long ,91," Highlands, Scotland- 21 years of aging has added dignity to Aberfeldy's distinctive heather honey softness. The taste lingers like a fine liqueur with its long, dry finish enhanced by notes of mature Seville oranges, spices, vanilla and sandalwood. Sip and savor this exclusive whisky. ",Aberfeldy,Scotland,Highland,Scotch,Single Malt,"{'review_1': {'review_desc': '    Very smooth, easy to drink   ', 'review_cont': "" I have drank a lot of different scotches up to this point in my life and I'd have to say this is a bottle worth trying. One of the smoothest scotches I've had, great flavors, no burn, doesn't linger too long, not overbearing at all. Great for a new scotch drinker or a collection. "", 'review_scor': '5'}}"
24,Aberlour 12 Yr,39.99,750ml,4.4, Rich . Fruit . Vanilla . Balanced ,-1," Speyside, Scotland- Matured in bourbon and sherry casks. Soft and rounded with notes of apple and other orchard fruit. Sherry and fruity aromas balanced with rich chocolate, toffee, cinnamon, and ginger. Warm, lingering finish. DOUBLE GOLD-2016 SAN FRANCISCO WORLD SPIRITS COMPETITION. ",Aberlour,Scotland,Speyside,Scotch,Single Malt,"{'review_1': {'review_desc': '    Incredible   ', 'review_cont': "" Aberlour is a small distillery that prides itself on it's deep history of local sourcing. The taste of Aberlour 12 is totally excellent. I got hints of various fruits, zaps of chocolate syrup, and had a relaxing spicy finish that perfectly lingers in your system  before taking another sip. "", 'review_scor': '5'}}"
25,Aberlour 12 Yr Non-Chilled Filtered,87.99,750ml,4.0, ,-1," Speyside, Scotland- Aged in bourbon and sherry casks. Aromas are soft with cereal grains and honeysuckle. Rich on the palate with ripe stone fruit, thick cinnamon spice and dark toffee. Smooth and fine-grained. Long, smooth finish. 92pts. - 2014 ULTIMATE SPIRITS ",Aberlour,Scotland,Speyside,Scotch,Single Malt,
26,Aberlour 16 Yr,59.99,750ml,4.8, Delicate . Sherry . Spice . Mild ,90," Speyside, Scotland- Aged in bourbon and sherry casks. A toasty nose with aromas of hazelnut, toffee and sugar cookies. Spicy palate with plenty of cinnamon, nutmeg, toasted oats and vanilla accents. Long finish. CHAIRMAN'S TROPHY FINALIST 97pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Aberlour,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': '    Maybe I got a bad Batch   ', 'review_cont': "" I am so sorry to be the 1st to slam this, but I just didn't get it.  I have found better tasting scotches for half the price. In full disclose I prefer the smokier scotches and the rum scotches over everything else. That being said I am NOT a connoisseur  by any means but I do not think this was worth the money. "", 'review_scor': '2'}}"
27,Aberlour 18 Yr,97.99,750ml,5.0, ,91," Speyside, Scotland- Aged in bourbon and sherry casks. Dried apricot, fresh oranges, and light smoke aromas. The mouth leads with a touch of sweetness and soft vanilla and honey notes. Long and balanced finish. CHAIRMAN'S TROPHY FINALIST 97pts. - 2016 ULTIMATE SPIRITS CHALLENGE. ",Aberlour,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': ""    There's No Bad Tasting Aberlours   "", 'review_cont': "" Now what that statement out of the way, and now on to my Second 18yo bottle. Its official!  They got something special going on at that distillery. I hope they don't change a thing with the 18yo. \nChocolate Notes\nSpice\nCinnamon\nNutmeg\nFull Rich Body "", 'review_scor': '5'}}"
28,Aberlour A'bunadh,69.99,750ml,4.8, Intense . Spice . Sherry . Long ,90," Speyside, Scotland- Cask Strength and aged exclusively in Oloroso Sherry casks. Deep and concentrated aromas of nuts and raisins. The mouth begins spicy, turning to sweet dried fig and candied nuts. Long, spicy finish. CHAIRMAN'S TROPHY 98pts - 2016 ULTIMATE SPIRITS CHALLENGE. ",Aberlour,Scotland,NA,Scotch,Single Malt,"{'review_1': {'review_desc': ""    The Booker's  Sherry Bomb of Scotch!   "", 'review_cont': "" I am mostly a bourbon guy as you can tell from the title but I think the comparison is accurate.  Nose and sip neat carefully as my batch 61 is 121.6 proof.  Rich concentrated flavors, big sherry.  Spend some time adding small amounts of water to get where you like it best and are rewarded with Huge Blooming aromas and flavors.  I love cask strength so this is great to me. If you have not spent time and don't already know high proof is for you this may not be to your liking, but I love the ability to water down to what I want and that can change as you go through a bottle. From what I see on the internet batches are blended from barrels 5-25 years old to create a target flavor profile. The juice spends it's whole time aging in Olaroso Sherry Butts not just finished in them like many Sherry Scotch's.  Excellent value as you are getting close to 1.5 bottles of 80 proof liquor. "", 'review_scor': '5'}}"
29,Adelphi Clynelish 17 Yr 1996,209.99,750ml,-1, ,-1," Highlands, Scotland - This whisky is drawn from a rare Spanish oak, ex-sherry hogshead. To the nose, a light prickle with dried fruits and spice. A rich, oily mouth feel; sweet and spicy taste and a thread of scented smoke in the long finish. ",Adelphi,Scotland,Highland,Scotch,Single Malt,No Reviews
30,Adelphi Longmorn 28 Yr 1985,329.99,750ml,-1, ,-1," Speyside, Scotland - Rich, oily and mouth-drying after a sweet start, at full strength with fruits of the forest, even slightly tropical. It can be enjoyable either neat, with ice, water, or even a mixer. ",Adelphi,Scotland,NA,Scotch,Single Malt,No Reviews
